old_pay_item,old_desc,new_pay_item,new_desc,course,nmas_mm,esal_cat,binder_class,status
401-11971,"QC/QA-HMA, 4, 70, SURFACE, 4.75 mm",401-000066,"QC/QA-HMA, 4, 58H, SURFACE, 4.75 mm",Surface,4.75,4,58H,ACTIVE
401-12137,"QC/QA-HMA, 4, 76, INTERMEDIATE, OG, 19.0 mm",401-000067,"QC/QA-HMA, 4, 58E, INTERMEDIATE, OG, 19.0 mm",Intermediate,19.0,4,58E,ACTIVE
401-12138,"QC/QA-HMA, 4, 76, INTERMEDIATE, OG, 25.0 mm",401-000068,"QC/QA-HMA, 4, 58E, INTERMEDIATE, OG, 25.0 mm",Intermediate,25.0,4,58E,ACTIVE
401-12139,"QC/QA-HMA, 4, 76, BASE, OG, 19.0 mm",401-000069,"QC/QA-HMA, 4, 58E, BASE, OG, 19.0 mm",Base,19.0,4,58E,ACTIVE
401-12141,"QC/QA-HMA, 4, 76, BASE, OG, 25.0 mm",401-000070,"QC/QA-HMA, 4, 58E, BASE, OG, 25.0 mm",Base,25.0,4,58E,ACTIVE
401-12267,"QC/QA-HMA, 4, 64, BASE, OG, 19.0 mm",401-000071,"QC/QA-HMA, 4, 58S, BASE, OG, 19.0 mm",Base,19.0,4,58S,ACTIVE
401-12495,"QC/QA-HMA, 4, 76, INTERMEDIATE, OG, 9.5 mm",401-000072,"QC/QA-HMA, 4, 58E, INTERMEDIATE, OG, 9.5 mm",Intermediate,9.5,4,58E,ACTIVE
410-09530,"QC/QA-HMA, 4, 76, SURFACE, 9.5 mm - SMA",410-000073,"QC/QA-HMA, 4, 58E, SURFACE, 9.5 mm - SMA",Surface,9.5,4,58E,ACTIVE
410-09877,"QC/QA-HMA, 4, 70, SURFACE, 9.5 mm - SMA DELETED - Contact Office of Pavement Engineering",,,Surface,9.5,4,58H,DELETED
410-10128,"QC/QA-HMA, 3, 76, SURFACE, 9.5 mm - SMA DELETED - Contact Office of Pavement Engineering",,,Surface,9.5,3,58E,DELETED
410-11777,"QC/QA-HMA, 4, 76, SURFACE, 12.5 mm - SMA",410-000074,"QC/QA-HMA, 4, 58E, SURFACE, 12.5 mm - SMA",Surface,12.5,4,58E,ACTIVE
410-11935,"QC/QA-HMA, 3, 70, SURFACE, 9.5 mm - SMA DELETED - Contact Office of Pavement Engineering",,,Surface,9.5,3,58H,DELETED
410-12320,"QC/QA-HMA, 3, 76, SURFACE, 12.5 mm - SMA DELETED - Contact Office of Pavement Engineering",,,Surface,12.5,3,58E,DELETED
410-12333,"QC/QA-HMA, 3, 70, SURFACE, 12.5 mm - SMA DELETED - Contact Office of Pavement Engineering",,,Surface,12.5,3,58H,DELETED
410-12485,"QC/QA-HMA, 4, 76, INTERMEDIATE, 12.5 mm - SMA",410-000075,"QC/QA-HMA, 4, 58E, INTERMEDIATE, 12.5 mm - SMA",Intermediate,12.5,4,58E,ACTIVE
410-12672,"QC/QA-HMA, 2, 70, SURFACE, 9.5 mm - SMA DELETED - Contact Office of Pavement Engineering",,,Surface,9.5,2,58H,DELETED
